epoch 1/20; training objective 0.11134204
epoch 2/20; training objective 0.0079659588
epoch 3/20; training objective 0.0036253394
epoch 4/20; training objective 0.0027818314
epoch 5/20; training objective 0.0023076889
epoch 6/20; training objective 0.0019316201
epoch 7/20; training objective 0.0016428673
epoch 8/20; training objective 0.0014022044
epoch 9/20; training objective 0.0011944746
epoch 10/20; training objective 0.0010256244
epoch 11/20; training objective 0.00088385387
epoch 12/20; training objective 0.00078060798
epoch 13/20; training objective 0.00063688333
epoch 14/20; training objective 0.00062375271
epoch 15/20; training objective 0.00056826898
epoch 16/20; training objective 0.00054315749
epoch 17/20; training objective 0.00053319261
epoch 18/20; training objective 0.00052080948
epoch 19/20; training objective 0.00047251352
epoch 20/20; training objective 0.00047827913
