epoch 1/20; training objective 0.26032595
epoch 2/20; training objective 0.048171221
epoch 3/20; training objective 0.026413471
epoch 4/20; training objective 0.015004486
epoch 5/20; training objective 0.0084603588
epoch 6/20; training objective 0.0053987785
epoch 7/20; training objective 0.0038090853
epoch 8/20; training objective 0.0029272861
epoch 9/20; training objective 0.0024146198
epoch 10/20; training objective 0.0020978617
epoch 11/20; training objective 0.0018672845
epoch 12/20; training objective 0.0016977801
epoch 13/20; training objective 0.0015635958
epoch 14/20; training objective 0.00143915
epoch 15/20; training objective 0.0013223279
epoch 16/20; training objective 0.0012094973
epoch 17/20; training objective 0.0011255847
epoch 18/20; training objective 0.0010375138
epoch 19/20; training objective 0.00094372899
epoch 20/20; training objective 0.00085691339
