epoch 1/20; training objective 0.23568291
epoch 2/20; training objective 0.080955959
epoch 3/20; training objective 0.064028472
epoch 4/20; training objective 0.057353945
epoch 5/20; training objective 0.053126471
epoch 6/20; training objective 0.050264895
epoch 7/20; training objective 0.048222817
epoch 8/20; training objective 0.046492265
epoch 9/20; training objective 0.045224767
epoch 10/20; training objective 0.044273428
epoch 11/20; training objective 0.043294295
epoch 12/20; training objective 0.0425261
epoch 13/20; training objective 0.04180445
epoch 14/20; training objective 0.041198954
epoch 15/20; training objective 0.040635357
epoch 16/20; training objective 0.040146723
epoch 17/20; training objective 0.039545104
epoch 18/20; training objective 0.039047396
epoch 19/20; training objective 0.038562891
epoch 20/20; training objective 0.038219704
