epoch 1/20; training objective 0.080546102
epoch 2/20; training objective 0.023438913
epoch 3/20; training objective 0.019062977
epoch 4/20; training objective 0.016851403
epoch 5/20; training objective 0.015851133
epoch 6/20; training objective 0.014647429
epoch 7/20; training objective 0.014095111
epoch 8/20; training objective 0.01384124
epoch 9/20; training objective 0.013374018
epoch 10/20; training objective 0.013167267
epoch 11/20; training objective 0.012983401
epoch 12/20; training objective 0.013079339
epoch 13/20; training objective 0.012507376
epoch 14/20; training objective 0.012333706
epoch 15/20; training objective 0.012227977
epoch 16/20; training objective 0.012074004
epoch 17/20; training objective 0.012203576
epoch 18/20; training objective 0.011767833
epoch 19/20; training objective 0.011638097
epoch 20/20; training objective 0.011718895
